Disease,Model,Precision,Recall,F1-Score,Support
COVID-19,BioBERT,0.9411764705882353,1.0,0.9696969696969697,16
COVID-19,PubMedBERT,0.8333333333333334,0.9375,0.8823529411764706,16
COVID-19,ClinicalBERT,0.9411764705882353,1.0,0.9696969696969697,16
COVID-19,BioLinkBERT,0.9411764705882353,1.0,0.9696969696969697,16
Dengue,BioBERT,1.0,0.9411764705882353,0.9696969696969697,17
Dengue,PubMedBERT,0.8823529411764706,0.8823529411764706,0.8823529411764706,17
Dengue,ClinicalBERT,1.0,1.0,1.0,17
Dengue,BioLinkBERT,1.0,1.0,1.0,17
Tuberculosis,BioBERT,1.0,1.0,1.0,17
Tuberculosis,PubMedBERT,1.0,0.8823529411764706,0.9375,17
Tuberculosis,ClinicalBERT,1.0,0.9411764705882353,0.9696969696969697,17
Tuberculosis,BioLinkBERT,1.0,0.9411764705882353,0.9696969696969697,17
